연월,평균기온,강수량,상대습도,예상_로스율_%,품목명,예상_기후_분류
202510,14.93,87.85,65.16,7.33,감자,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,닭고기,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,당근,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,대파,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,돼지고기,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,배추,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,양파,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,풋고추,이상기후 (높은 로스율 예상)
202510,14.93,87.85,65.16,7.33,호박,이상기후 (높은 로스율 예상)
202511,8.6,64.2,57.76,3.83,감자,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,닭고기,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,당근,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,대파,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,돼지고기,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,배추,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,양파,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,풋고추,정상기후 (일반 로스율 예상)
202511,8.6,64.2,57.76,3.83,호박,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,감자,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,닭고기,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,당근,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,대파,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,돼지고기,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,배추,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,양파,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,풋고추,정상기후 (일반 로스율 예상)
202512,1.7,38.5,60.35,3.78,호박,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,감자,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,닭고기,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,당근,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,대파,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,돼지고기,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,배추,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,양파,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,풋고추,정상기후 (일반 로스율 예상)
202601,-0.5,25.1,62.58,4.09,호박,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,감자,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,닭고기,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,당근,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,대파,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,돼지고기,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,배추,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,양파,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,풋고추,정상기후 (일반 로스율 예상)
202602,1.5,34.8,61.91,3.68,호박,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,감자,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,닭고기,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,당근,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,대파,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,돼지고기,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,배추,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,양파,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,풋고추,정상기후 (일반 로스율 예상)
202603,7.5,68.0,57.94,3.83,호박,정상기후 (일반 로스율 예상)
202604,13.2,88.4,58.07,5.91,감자,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,닭고기,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,당근,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,대파,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,돼지고기,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,배추,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,양파,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,풋고추,이상기후 (높은 로스율 예상)
202604,13.2,88.4,58.07,5.91,호박,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,감자,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,닭고기,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,당근,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,대파,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,돼지고기,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,배추,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,양파,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,풋고추,이상기후 (높은 로스율 예상)
202605,18.1,102.3,62.51,5.14,호박,이상기후 (높은 로스율 예상)
202606,22.4,150.7,72.39,3.96,감자,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,닭고기,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,당근,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,대파,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,돼지고기,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,배추,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,양파,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,풋고추,정상기후 (일반 로스율 예상)
202606,22.4,150.7,72.39,3.96,호박,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,감자,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,닭고기,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,당근,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,대파,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,돼지고기,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,배추,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,양파,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,풋고추,정상기후 (일반 로스율 예상)
202607,25.5,301.9,80.52,3.62,호박,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,감자,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,닭고기,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,당근,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,대파,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,돼지고기,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,배추,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,양파,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,풋고추,정상기후 (일반 로스율 예상)
202608,26.2,208.1,75.46,4.15,호박,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,감자,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,닭고기,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,당근,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,대파,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,돼지고기,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,배추,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,양파,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,풋고추,정상기후 (일반 로스율 예상)
202609,21.7,182.5,70.21,4.06,호박,정상기후 (일반 로스율 예상)
202610,15.4,105.7,67.14,7.25,감자,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,닭고기,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,당근,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,대파,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,돼지고기,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,배추,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,양파,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,풋고추,이상기후 (높은 로스율 예상)
202610,15.4,105.7,67.14,7.25,호박,이상기후 (높은 로스율 예상)
202611,8.5,61.1,63.18,4.03,감자,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,닭고기,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,당근,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,대파,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,돼지고기,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,배추,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,양파,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,풋고추,정상기후 (일반 로스율 예상)
202611,8.5,61.1,63.18,4.03,호박,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,감자,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,닭고기,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,당근,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,대파,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,돼지고기,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,배추,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,양파,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,풋고추,정상기후 (일반 로스율 예상)
202612,1.4,31.3,59.24,3.84,호박,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,감자,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,닭고기,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,당근,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,대파,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,돼지고기,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,배추,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,양파,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,풋고추,정상기후 (일반 로스율 예상)
202701,-0.3,22.5,61.15,3.59,호박,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,감자,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,닭고기,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,당근,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,대파,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,돼지고기,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,배추,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,양파,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,풋고추,정상기후 (일반 로스율 예상)
202702,1.0,30.1,60.98,3.71,호박,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,감자,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,닭고기,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,당근,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,대파,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,돼지고기,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,배추,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,양파,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,풋고추,정상기후 (일반 로스율 예상)
202703,7.3,60.2,56.51,3.93,호박,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,감자,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,닭고기,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,당근,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,대파,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,돼지고기,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,배추,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,양파,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,풋고추,정상기후 (일반 로스율 예상)
202704,13.0,80.0,57.53,4.07,호박,정상기후 (일반 로스율 예상)
202705,17.8,95.5,61.47,5.05,감자,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,닭고기,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,당근,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,대파,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,돼지고기,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,배추,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,양파,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,풋고추,이상기후 (높은 로스율 예상)
202705,17.8,95.5,61.47,5.05,호박,이상기후 (높은 로스율 예상)
202706,22.1,145.2,71.72,4.19,감자,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,닭고기,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,당근,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,대파,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,돼지고기,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,배추,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,양파,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,풋고추,정상기후 (일반 로스율 예상)
202706,22.1,145.2,71.72,4.19,호박,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,감자,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,닭고기,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,당근,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,대파,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,돼지고기,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,배추,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,양파,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,풋고추,정상기후 (일반 로스율 예상)
202707,25.4,295.6,79.55,3.66,호박,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,감자,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,닭고기,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,당근,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,대파,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,돼지고기,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,배추,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,양파,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,풋고추,정상기후 (일반 로스율 예상)
202708,26.1,195.3,74.88,4.17,호박,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,감자,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,닭고기,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,당근,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,대파,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,돼지고기,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,배추,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,양파,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,풋고추,정상기후 (일반 로스율 예상)
202709,21.6,175.9,69.83,4.07,호박,정상기후 (일반 로스율 예상)
202710,15.3,98.2,66.42,7.35,감자,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,닭고기,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,당근,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,대파,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,돼지고기,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,배추,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,양파,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,풋고추,이상기후 (높은 로스율 예상)
202710,15.3,98.2,66.42,7.35,호박,이상기후 (높은 로스율 예상)
202711,8.3,58.7,61.99,3.7,감자,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,닭고기,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,당근,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,대파,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,돼지고기,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,배추,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,양파,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,풋고추,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.7,호박,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,감자,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,닭고기,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,당근,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,대파,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,돼지고기,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,배추,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,양파,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,풋고추,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.87,호박,정상기후 (일반 로스율 예상)
